<U>2, so I can bring my family<C><U>Are there any good movies in Spring Hills, Kansas this afternoon?<A>What kind of movie are you looking for?<U>Something for my family.<PN>find_movies<PAN>description.other<PAV>good movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Family Jewels<PRAV>Not My Problem<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 69% on Rotten Tomatoes<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 72% approval on Rotten Tomatoes<A>Okay, Family Jewels is an romantic comedy movie rated 69% on Rotten Tomatoes and Not My Problem is a comedy movie that is rated 72% approval on Rotten Tomatoes<U>What is Family Jewels about?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>What is Not My Problem about?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>I'd like to see Family Jewels<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Family Jewels<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<A>Ok, it is showing at the AMC Holiday Theater<U>Perfect<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>this afternoon<PR>find_showtimes<PRAN>time.showing<PRAV>2<PRAV>5<PRAV>8:10 pm<A>It's showing at 2, 5 and 8:10 pm. What time do you prefer?	[A]How many tickets do you need?	dlg-3c092ed8-7551-4e3d-81ad-7836d79ed716
<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<C><U>I need you to book a movie for me, please.<A>Okay. Where are you seeing this movie?<U>Somewhere in Spring Hills, Kansas, please.<A>Got it! I have pulled up movies showing at the theaters in that region. Did you have a preference?<U>Something with a high critical score, please.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Backcountry<PRAV>Beyond The Storm<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary (outdoor)<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 91%<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks<A>The highest Rotten Tomatoes rating is Backcountry - Documentary (outdoor) - rated G - Rotten Tomatoes 91% - Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks.<U>Ugh, a documentary? I'm gonna pass on that one, I'm afraid.<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<A>Alright. The second highest is Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81% - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.<U>Much better. It sounds action packed and dramatic. Just my style! Plus the Tomatoes score is still pretty high. Let's go with that.<A>I will book Beyond the Storm for you, then! How many tickets did you need?<U>Just a couple.<A>Two tickets. And what day did you want to go?<U>The 5th, please.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Beyond The Storm	[PN]find_showtimes[PAN]name.movie[PAV]Beyond The Storm[PAN]name.theater[PAV]Cinemark Downtown[PAN]date.showing[PAV]5th[PAN]time.preference[PAV]any	dlg-377a63e4-0e74-4789-88a6-8d6b601440d0
"<U>I would like to watch in IMAX.<C><U>Hi, can you please look up some movie tickets?<A>Sure, I am more than happy to help.<U>Please check if there are any movie tickets available for the movie ""Pocahontas"".<A>No problem, what is the city location and name of movie theater?<U>City location is San Francisco and the name of the theater is Regal 294.<A>Thank you, let me check it for you.<U>Sure, thanks!<PN>check_tickets<PAN>name.movie<PAV>""Pocahontas""<PAN>name.theater<PAV>Regal 294<PAN>num.tickets<PAV>one<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>It seems like there are still tickets available.<U>That is great to know!<A>At what time would you like to book?<U>Please book at 06:30 PM.<A>And what is your screening preference?"	[A]How many movie tickets?	dlg-85e6d8af-c8df-4f51-898b-d49d76506e8c
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Can you help me get a movie ticket.<A>Yes I can. What theater would you like me to look at?<U>AMC Woodridge 18<A>That's a great theater, what movie do you want to see?<U>Like a Boss<PN>get_movie_attribute<PAN>name.movie<PAV>Like a Boss<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<A>Is that the comedy like a boss?<U>Yes it is.<A>What time would you like to see it?<U>3 PM<PN>find_showtimes<PAN>name.movie<PAV>Like a Boss<PAN>name.theater<PAV>AMC Woodridge 18<PAN>date.showing<PAV>today<PAN>time.preference<PAV>3 PM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>That time isn't available.<U>How about 4 PM<PN>find_showtimes<PAN>name.movie<PAV>Like a Boss<PAN>name.theater<PAV>AMC Woodridge 18<PAN>date.showing<PAV>today<PAN>time.preference<PAV>4 PM<PR>find_showtimes<PRAN>time.showing<PRAV>4 PM<A>Yes that time is available.<U>Perfect, 4 PM then.<A>How many tickets do you need?<U>3 please.<A>What theater type would you like?<U>IMAX please!<PN>check_tickets<PAN>name.movie<PAV>Like a Boss<PAN>name.theater<PAV>AMC Woodridge 18<PAN>num.tickets<PAV>3<PAN>time.preference<PAV>4 PM<PAN>seating<PAV>any<PAN>date.showing<PAV>today<PR>check_tickets<PRAN>status<PRAV>available<A>Okay so I have 3 IMAX tickets for like a boss at 4 PM, do you need anything else?<U>No that would be all.<PN>book_tickets<PAN>name.movie<PAV>Like a Boss<PAN>name.theater<PAV>AMC Woodridge 18<PAN>num.tickets<PAV>3<PAN>time.showing<PAV>4 PM<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]Great! I booked them for you.	dlg-f5b99e41-f965-43e1-8617-507f10f43d1d
<U>Absolutely, I would like to go anytime around 6:00 PM to 8:00 PM today.<C><U>Hello<A>Hi, thank you for contacting Regal Theaters, how may I assist you?<U>Hi, I would like to inquire about movies that are currently showing at Regal theater for today.<A>Ok, great, I can assist you with that. May I ask who I'm speaking with?<U>Yes, my name is Grace.<A>Ok, thank you Grace. Do you have a specific movie in mind?<U>No, that is why I would like to hear about the general list of popular movies that are showing today.<A>Ok. Thank you!There are many popular movies that are showing today. However, to narrow down the search, can you please tell me the time frame that you would like to go to the movie today?	[A]Ok, great! I can assist you with that.Can you please hold for a few minutes while I research your request.	dlg-6536c3ae-2e26-4f19-a071-cb197f329a77
<U>Hi, I'm looking at going to the movies tonight.	[A]OK. And in what city?	dlg-04116e75-7996-4587-9d66-579c6b81546d
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Hi I like book two tickets for a movie that's showing in the theaters in Spring Hills Kansas<PN>find_theaters<PAN>location<PAV>Spring Hills Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday theater<PRAV>Cinemark Downtown<A>Hi sir. Welcome to the booking app. Yes sir. There is two theater near by, AMC Holiday theater and Cinemark Downtown.<U>Can you tell what movie is showing in AMC Holiday Theater.<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PAN>name.theater<PAV>AMC Holiday theater<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<A>Please wait sir let me check it for You.Sir three movies showing in AMC Holiday. Not My Problem, Family Jewels and Shuttered.<U>Oh good. I like to timing of the shows for the movie Family Jewels.<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>-2.00pm-5.00pm-8.10pm<PRAV>8.10pm<PRAV>5.00pm<A>Ok sir. The show timings are -2.00pm-5.00pm-8.10pm.<U>Ok book two tickets for the 5.00pm show for Family Jewels movie.<PN>check_tickets<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday theater<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>5.00pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>unavailable<PN>check_tickets<PAN>name.movie<PAV>Family Jewels<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>8.10pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PAN>name.theater<PAV>AMC Holiday theater<PR>check_tickets<PRAN>status<PRAV>available<PN>check_tickets<PAN>name.theater<PAV>AMC Holiday theater<PAN>name.movie<PAV>Family Jewels<PAN>time.showing<PAV>-2.00pm-5.00pm-8.10pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PAN>num.tickets<PAV>two<PR>check_tickets<PRAN>status<PRAV>unavailable<A>Sorry for the trouble sir there's only one show available for Family Jewels movie at 8.10pm<U>Ok good book two tickets for Family Jewels on the available timing of the show for tonight.<A>Thank you sir. Can you repeat the movie name once?<U>Yes book two tickets for Family Jewels.<PN>book_tickets<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday theater<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>8.10pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]Ok sir your Booking is confirmed for 8.10pm show for Family Jewels.	dlg-49925b1f-bedd-49f8-80b7-5cf1f5ffc78b
"<U>Yes, that's right.<C><U>Hi, I'd like to get some tickets for tonight.<A>Of course! What would you want to go see?<U>Is there anything playing that's horror or a romantic comedy?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>""Shuttered""<PRAV>""Family Jewels""<PN>get_movie_attribute<PAN>name.movie<PAV>""Shuttered""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<A>""Shuttered"" is a horror movie playing right now and so is the romantic comedy ""Family Jewels"".<U>Can you tell me a little more about ""Family Jewels""?<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist<A>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist.<U>That's interesting. Now what about ""Shuttered""?<PN>get_movie_attribute<PAN>name.movie<PAV>""Shuttered""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>Yes, I prefer that. Is it playing anywhere near Spring Hills Kansas?<PN>find_showtimes<PAN>name.movie<PAV>""Shuttered""<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pm<A>3:00pm, 5:45, 9:00pm at AMC Holiday Theater.<U>I'll take the 5:45pm showing please!<A>Ok, and who's all going?<U>Just me and my brother.<A>Ok, so you'll need two tickets?"	[A]Anything else before I proceed?	dlg-90140b49-6978-4eb1-bf95-bb592d453a60
<U>Yes. Those details are correct.<C><U>I want to purchase two tickets for a movie today--April 23rd.<A>I can assist you with your purchase. What movie would you like to see?<U>I would like to see No Time To Die.<A>Did you have a preference for a theater?<U>Yes. I want to see it at Mountain AMC 16.<A>Have you picked out a showtime?<U>No. What showtimes are available for today?<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>Mountain AMC 16<PAN>date.showing<PAV>today--April 23rd<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:10pm<PRAV>7:30pm<PRAV>9:40pm<A>Currently, No Time To Die is playing at the Mountain AMC 16 theater at 3:00pm, 5:10pm, 7:30pm, and 9:40pm.<U>I will get two tickets for the 5:10PM showing.<A>Great. Will both tickets be for adults?<U>Yes. Both tickets will be for adults. However, I just remembered that my friend doesn't want to see No Time To Die. Is the movie Mulan playing?<PN>find_movies<PAN>name.theater<PAV>Mountain AMC 16<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Mulan<A>Yes. Mulan is playing at the Mountain AMC 16.<U>What are today's showtimes for Mulan?<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>Mountain AMC 16<PAN>date.showing<PAV>today--April 23rd<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>6:10pm<PRAV>8:30pm<PRAV>10:40pm<A>Mulan will be playing at 4:00pm, 6:10pm, 8:30pm, and 10:40pm today.<U>OK. I will purchase two adult tickets for the 6:10PM showtime.<A>How will you be paying?<U>Please charge the VISA credit card on file.<A>To confirm, you wish to purchase two adult tickets for today's 6:10PM showing of Mulan at the Mountain AMC 16 theater. You will pay using your VISA credit card. Is this correct?	[PN]book_tickets[PAN]name.movie[PAV]Mulan[PAN]name.theater[PAV]Mountain AMC 16[PAN]num.tickets[PAV]two adult[PAN]time.showing[PAV]6:10pm[PAN]date.showing[PAV]today--April 23rd[PAN]seating[PAV]any	dlg-9528a1e2-3fae-4731-a337-52ce681bc202
<PR>get_movie_attribute<PRAN>review.audience<PRAV>bad reviews<C><U>I would like to see a movie tonight playing in NYC at or around 8:00 PM.<PN>find_movies<PAN>location<PAV>NYC<PR>find_movies<PRAN>name.movie<PRAV>The Turning<PRAV>Dolittle<PRAV>The Lighthouse<A>Let me check for you . I see the movies The Turning , Dolittle and The Lighthouse being played around that time in NYC.<U>So hard to pick one . Dolittle looks good , but wanted to see The Turning.<PN>get_movie_attribute<PAN>name.movie<PAV>Dolittle<PAN>attribute<PAV>review.audience	[PN]get_movie_attribute[PAN]name.movie[PAV]The Turning[PAN]attribute[PAV]review.audience	dlg-957587f9-73c7-4d1a-86ef-0e1e1fbb9c3c
<U>All of that information is correct.<C><U>I would like to see a movie with my mother and father, but I am not sure what to see.<A>How many people will you need tickets for?<U>I will need 3 tickets.<A>What is your location?<U>I am located in Spring Hills, Kansas. What movies are playing in the theater near my location?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem:<PRAV>10:05pmFamily Jewels:<PRAV>8:10pmShuttered:<PRAV>9:00pmBeyond the Storm:<PRAV>8:30pmBackcountry:<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Not My Problem:<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>10:05pmFamily Jewels:<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas:<PAN>name.movie<PAV>8:10pmShuttered:<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>9:00pmBeyond the Storm:<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>8:30pmBackcountry:<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pmFamily<PN>find_showtimes<PAN>name.movie<PAV>10:05pmFamily Jewels:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>5:00pm<PRAV>8:10pmShuttered:<PN>find_showtimes<PAN>name.movie<PAV>8:10pmShuttered:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pmBeyond<PN>find_showtimes<PAN>name.movie<PAV>9:00pmBeyond the Storm:<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1:30pm<PRAV>3:40<PRAV>8:30pmBackcountry:<PRAV>6:10pm<PN>find_showtimes<PAN>name.movie<PAV>8:30pmBackcountry:<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:10pm<PRAV>7:30pm<PRAV>10:15pm<A>The following movies and times are playing in the theater near Spring Hills, Kansas: Not My Problem: AMC Holiday Theater - 1pm - 3:55pm - 7pm - 10:05pmFamily Jewels: AMC Holiday Theater - 2:00pm - 5:00pm - 8:10pmShuttered: AMC Holiday Theater - 3:00pm - 5:45 - 9:00pmBeyond the Storm: Cinemark Downtown - 1:30pm - 3:40 - 6:10pm - 8:30pmBackcountry: Cinemark Downtown - 4:10pm - 7:30pm - 10:15pm<U>What is the movie Backcountry about?<PN>get_movie_attribute<PAN>name.movie<PAV>8:30pmBackcountry:<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary<A>It is Documentary about Yosemite California<U>What is the movie Family jewels about?<PN>get_movie_attribute<PAN>name.movie<PAV>10:05pmFamily Jewels:<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>10:05pmFamily Jewels:<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<PN>get_movie_attribute<PAN>name.movie<PAV>10:05pmFamily Jewels:<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<A>It is a Romantic Comedy that stars Melissa McCarthy and Ryan Reynolds<U>I would like to see the movie Backcountry<A>What day and time would you like to see the movie at?<U>I would like to see the movie today at 4:10pm<A>Will you be seeing it at the theater in Spring Hills, Kansas?<U>Yes that would be perfect.<A>Okay let me process all of the details of the ticket order for your final confirmation.<U>That would be great.<A>You will need 3 tickets to Backcountry for today, at 4:10pm, at the theater located in Spring Hills, Kansas. Double check to see if this information is correct and let me know if I need to make any corrections.	[PN]book_tickets[PAN]name.movie[PAV]8:30pmBackcountry:[PAN]name.theater[PAV]Cinemark Downtown[PAN]num.tickets[PAV]3[PAN]time.showing[PAV]4:10pm[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-f7036d69-1099-4d94-9a7a-ae993094ae8a
<U>great but where are my tickets<C><U>Hey, I want to go the movies tonight!<A>Sure, which movie?<U>The new movie Onward.<A>Theater preference? Showtime preference?<U>How about the AMC at 7:00 pm<A>Searching that time at that theater....<U>I only need 2 tickets<PN>check_tickets<PAN>name.movie<PAV>Onward<PAN>name.theater<PAV>AMC<PAN>num.tickets<PAV>2<PAN>time.preference<PAV>7:00 pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>unavailable<A>The Movie Onward is showing at AMC but it is booked full.<U>How about Harkin's theater?<PN>find_showtimes<PAN>name.movie<PAV>Onward<PAN>name.theater<PAV>Harkin's theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>tonight!<PR>find_showtimes<PRAN>time.showing<PRAV>7:00 pm<A>Searching.... Yes a showing at 7:00 pm at Harkin's tonight<U>great and I can get 2 tickets?<A>Yes, would you like to book it?<U>I sure do!<A>Purchasing 2 movie tickets to the movie Onward tonight at 7:00 pm at the local Harkin's theater?<U>perfect<PN>book_tickets<PAN>name.movie<PAV>Onward<PAN>name.theater<PAV>Harkin's theater<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>7:00 pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>book_tickets<PRAN>status<PRAV>success<A>Confirmation that you just purchased 2 tickets to the movie Onward tonight at 7:00 pm at Harkin's. done.	[A]You just bought 2 tickets.	dlg-7a792d91-5694-4005-be7d-5e70f6b16ef8
<U>Yes, that’s correct<C><U>I would like to purchase tickets ?<A>Ok for what movie ?<U>Overboard<A>At what theatre ?<U>Deptford amc<A>Ok and what time?<U>At one pm<A>Ok how many tickets do you need?<U>We can do five tickets.<A>Ok for what day ?<U>February 5th<A>What theatre would you need ?<U>The imax theatre ?<A>Ok so I have overboard at the Amc deptford at 1 pm. This is for five tickets at the imax theatre on February 5th.<U>Yes, I would like to change that to 7 tickets.<A>Ok so this is for overboard at the Amc deptford at 1 pm. This is for five tickets at the imax theatre on February 5th.	[A]Let me book those tickets ...	dlg-e3ce608c-f7b6-4271-8659-e43764c2d6cb
<U>I would like the 9 PM showing.<C><U>Hi! I would like to watch a movie tonight.<A>Have you already decided on a movie?<U>Yes, I would like to watch 1917.<A>Great, and what city are you in?<U>I am in the city of Austin.<PN>find_theaters<PAN>name.movie<PAV>1917<PAN>location<PAV>city of Austin<PR>find_theaters<PRAN>name.theater<PRAV>AMC<A>Will the AMC be the theater of choice for you for today?<U>It definitely will be.<A>How many tickets do you need?<U>I need 2 tickets.<A>Any screening preferences for you?<U>Just the standard viewing experience.<A>What time works best for you?	[A]Would that be all?	dlg-64b2ed79-f201-4532-a3aa-f5fef9f0a8fe
<PR>find_showtimes<PRAN>time.showing<PRAV>4:10pm<C><U>I would like to purchase tickets ?<A>Ok and what movie would you like to see ?<U>Beyond the Storm<A>What theatre would you like?<U>Cinemark Downtown<A>And what time do you need ?<U>I need tickets to the 1:30 show.<A>ok, how many people<U>for two people<A>ok ..let me see if they have that time available.<U>ok<PN>find_showtimes<PAN>name.movie<PAV>Beyond the Storm<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3:40 pm<A>They have 3:40 pm available.<U>ok can you check another movie for me ?<A>Ok<U>Backcountry at the Cinemark Downtown at 4:10pm<PN>find_showtimes<PAN>name.movie<PAV>Backcountry<PAN>name.theater<PAV>Cinemark Downtown<PAN>time.preference<PAV>4:10pm<PAN>date.showing<PAV>today	[PN]check_tickets[PAN]name.movie[PAV]Backcountry[PAN]name.theater[PAV]Cinemark Downtown[PAN]num.tickets[PAV]two[PAN]time.preference[PAV]4:10pm[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-423ae9b5-ab58-4819-99c1-aa9063060af8
<U>What about Just Mercy<C><U>Hi, I'd like to buy movie tickets.<A>What movie are you interested in seeing?<U>Dolittle and Just Mercy<A>Great, where would you like to see the movie?<U>Greenville, SC<A>Any theater preference<U>Yes, Cherrydale<PN>find_theaters<PAN>name.movie<PAV>Dolittle<PAN>location<PAV>Greenville, SC<PR>find_theaters<PRAN>name.theater<PRAV>Cherrydale<PN>find_theaters<PAN>name.movie<PAV>Just Mercy<PAN>location<PAV>Greenville, SC<PR>find_theaters<PRAN>name.theater<PRAV>Cherrydale<A>Okay. Both films are playing there.<U>What time is Dolittle?<PN>find_showtimes<PAN>name.movie<PAV>Dolittle<PAN>name.theater<PAV>Cherrydale<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>7<A>7	[PN]find_showtimes[PAN]name.movie[PAV]Just Mercy[PAN]name.theater[PAV]Cherrydale[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-a1a6f8ee-6f20-4fc9-aec4-94e46781795d
