<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<C><U>Is the new Birds of Prey movie showing at the Bel Air Luxury Cinema?<PN>find_movies<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>description.other<PAV>new<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Birds of Prey<A>Yes. Birds of Prey is being shown at the Bel Air Luxury Cinema.<U>What is the movie rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>Rated-R<A>The movie is Rated-R.<U>Is there a matinee showing of the movie around 10:00AM?<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Unfortunately, there is no matinee showing of this film at 10:00AM in any nearby theaters. Is there any other times you would prefer?<U>No. I want to see a movie at 10:00AM.<A>Do you have any other movie preferences?<U>What about Sonic the Hedgehog at the Devonshire Mall theater?<PN>find_movies<PAN>name.theater<PAV>Devonshire Mall<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Sonic the Hedgehog<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>Devonshire Mall<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Sonic the Hedgehog is playing at Devonshire Mall theater, but there are no showings around 10:00AM.<U>I may be able to change my showtime preference to 1:00PM. Are the Birds of Prey or Sonic the Hedgehog movies playing around 1:00PM?<PN>find_theaters<PAN>name.movie<PAV>Birds of Prey<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_theaters<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>AMC Fairlane 21<PAN>date.showing<PAV>today<PAN>time.preference<PAV>1:00PM<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>AMC Fairlane 21<PAN>time.preference<PAV>10:00AM<PAN>date.showing<PAV>today	[A]The AMC Fairlane 21 has 1:00PM showtimes for both Birds of Prey and Sonic the Hedgehog.	dlg-ab7bc910-e728-4339-b0f6-f4f9b5dc2c1b
<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pm<C><U>Hello. I would like to see a movie today please.<A>Sure, is there a specific movie you are wanting to see?<U>Nothing specific, but I love horror films, and I also like funny movies.<A>Where are you located, I'll tell you some stuff playing near you.<U>Spring Hill Kansas.<PN>find_movies<PAN>location<PAV>Spring Hill Kansas<PAN>name.genre<PAV>horror<PAN>description.other<PAV>funny movies<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Shuttered<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>Is there also a horror film playing today? That sounds good, but would like to know about the horror film as well.<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Yes, Shuttered - Horror - rated R - Rotten Tomatoes 61% - Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>Oh wow, that sounds really scary. Lets get tickets to that one. What times is it playing today?<PN>find_theaters<PAN>location<PAV>Spring Hill Kansas<PAN>name.movie<PAV>Shuttered<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Shuttered<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any	[A]Shuttered: AMC Holiday Theater - 3:00pm - 5:45 - 9:00pm	dlg-bd79f277-71c9-4d08-8003-7d07a553fc9f
<U>What's the storyline?<C><U>I am wanting to see a movie tonight.<A>Sure. What movie would you like to see?<U>What's playing at the Boulevard 14 Cinema in Petaluma, California?<PN>resolve_theater<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>resolve_theater<PRAN>name.theater<PRAV>Boulevard 14 Cinema<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>What's Mulan about?<A>Sure. What specifically would you like to know?	[PN]get_movie_attribute[PAN]attribute[PAV]description.plot[PAN]name.movie[PAV]Mulan	dlg-50dffb2d-bd75-4dc9-848c-8d30bad11591
<U>Well, I live in Hillview Orgeon.<C><U>I'm interested in seeing a movie.<A>What movie do you want to see?<U>Mulan.<A>At what Theater?	[A]Ok, there is only one theater there.	dlg-38211b25-dac1-482a-a6aa-522d305f2587
<U>I'm in Spring Hills, Kansas.<C><U>Hi, I'm wanting to watch a horror show. Is there one showing?<A>What is your location?	[PN]find_movies[PAN]location[PAV]Spring Hills, Kansas[PAN]name.genre[PAV]horror	dlg-172f889a-4e61-4c1e-a6dd-62de1a5297b4
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Hello - I would like to book 2 tickets to a movie tonight.<A>Hello. I can help you. In what city and state do you wish to see a movie?<U>I am in Hillview, Washington.<PN>resolve_location<PAN>location<PAV>Hillview, Washington<PR>resolve_location<PRAN>location<PRAV>Hillview, Washington<PN>find_movies<PAN>location<PAV>Hillview, Washington<PR>find_movies<PRAN>name.movie<PRAV>Indulgent<PRAV>King Johnny<PRAV>Beholden<PRAV>Five Ways to Wacky<A>Here are the movies playing tonight in Hillview - Indulgent, Beholden, King Johnny, and Five Ways to Wacky. Would you like to hear details about any of these.<U>Please tell me the details of Beholden.<PN>get_movie_attribute<PAN>name.movie<PAV>Beholden<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Western<PN>get_movie_attribute<PAN>name.movie<PAV>Beholden<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Beholden<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes rating of 69%<A>Alright. Beholden is a Western and rated R, with a Rotten Tomatoes rating of 69%. Would you like to hear more about this movie location, or details about another movie?<U>Details of another movie.<A>Alright - which movie would you like to hear details about - Indulgent, Beholden, King Johnny, or Five Ways to Wacky?<U>Please tell me the details of Indulgent.<PN>get_movie_attribute<PAN>attribute<PAV>name.genre<PAN>name.movie<PAV>Indulgent<PR>get_movie_attribute<PRAN>name.genre<PRAV>suspense<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes rating of 69%<A>Alright. Indulgent is suspense and rated R, with a Rotten Tomatoes rating of 72%. Would you like to hear more about this movie location, or details about another movie?<U>More about this movie location.<PN>find_theaters<PAN>location<PAV>Hillview, Washington<PAN>name.movie<PAV>Indulgent<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Indulgent<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm,and<PRAV>10:05pm<A>Alright. Indulgent is playing at AMC Holiday Theater. Showtimes are 1pm, 3:55pm, 7pm,and 10:05pm. Would you like to book this movie or hear details of another movie?<U>Book this movie.<A>Alright. For which showtime should I make a reservation?<U>7PM.<A>Alright. How many tickets.<U>2 tickets.<A>Alright. I will book 2 tickets to Indulgent for tonight at 7PM at the AMC Holiday Theater. Is that correct?<U>Yes.<PN>book_tickets<PAN>name.movie<PAV>Indulgent<PAN>name.theater<PAV>AMC Holiday Theater<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>7PM<PAN>date.showing<PAV>tonight<PAN>seating<PAV>any	[A]Your tickets are confirmed and have been sent to your email address. Thank you for using our movie service.	dlg-fdae8dc0-08ea-42d9-a9a6-add06eeae3dd
<U>Hi, I'd like to see a movie today with a friend	[A]How many tickets do you want?	dlg-d4f5198b-f434-44bf-ad53-6aec1301cd2e
"<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<C><U>Hello I would like to inquire about some movies.<A>And where would you like to see the movie?<U>I'm looking for something near Spring Hills, Kansas<A>Ok. There are five movies showing near that location. Is there a genre you had in mind?<U>I'm looking for a comedy.<PN>find_movies<PAN>location<PAV>near Spring Hills, Kansas<PAN>name.genre<PAV>comedy<PR>find_movies<PRAN>name.movie<PRAV>""Not My Problem""<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes has assigned a score of 72%<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Right now we have ""Not My Problem"". This movie is rated PG-13 and Rotten Tomatoes has assigned a score of 72%. A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. This movie stars Matt Damon and Noah Schnapp.<U>Well I like the actors in that movie but the plot seems a little weak.<A>Is there another genre I can help you with?<U>How about an action movie?<PN>find_movies<PAN>location<PAV>near Spring Hills, Kansas<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>Beyond The Storm<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes has assigned a score of 81%<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Beyond The Storm<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<A>For an action movie playing near that location we have Beyond The Storm. This movie is also rated PG-13 and Rotten Tomatoes has assigned a score of 81%. Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board and this film is directed by James Cameron.<U>I think I will go with Beyond the Storm.<PN>find_theaters<PAN>location<PAV>near Spring Hills, Kansas<PAN>name.movie<PAV>Beyond The Storm"	[PN]find_showtimes[PAN]name.movie[PAV]Beyond The Storm[PAN]name.theater[PAV]Cinemark Downtown[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-e2e1fa88-a9c3-46e9-9920-7f70e4b8b98d
<U>What times are No time to die Playing??<C><U>I want to get movie tickets tonight.<A>OK. Can you tell me the city and state where the theater is located?<U>For theatres in Santa Barbara.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I see two theaters, AMC Mountain 16 and AMC Mercado 24. Are you interested in a particular movie?<U>Oh awesome I love those two!<A>OK. Is there a movie you have in mind?<U>I’m not really sure what’s out right now.. can you let me know?<A>Sure. Do you have a favorite genre?<U>What do you mean by genre?<A>Genre the movie category, like comedy, drama, action, etc.<U>Oh ok! I’d definitely like an action one.<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<A>Ok. Let’s see what action films are out.<PN>find_movies<PAN>name.theater<PAV>AMC Mercado 24<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>empty<A>I found one action movie at AMC Mountain 16: No Time To Die.	[PN]find_showtimes[PAN]name.theater[PAV]AMC Mountain 16[PAN]date.showing[PAV]tonight[PAN]name.movie[PAV]No Time To Die	dlg-418a4d3f-e3b2-424e-a455-c18c04886055
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Hi I’d like to purchase movie tickets.<A>Hi! Happy to help! When would you like to see a movie?<U>I’d like to go on Saturday evening. Preferably 7 pm.<A>Ok let me pull up movie listing in your area for Saturday evening at 6pm.<U>No. I said 7pm<A>I’m sorry. Let me pull up movie listings on Saturday or 7pm. Is that correct?<U>Yes. I’d like to see bad boys 3 for 2 people.<PN>find_theaters<PAN>name.movie<PAV>bad boys 3<PR>find_theaters<PRAN>name.theater<PRAV>regal<PRAV>island 16<PN>find_showtimes<PAN>name.movie<PAV>bad boys 3<PAN>name.theater<PAV>regal<PAN>date.showing<PAV>Saturday<PAN>time.preference<PAV>7pm<PR>find_showtimes<PRAN>time.showing<PRAV>7pm<PN>find_showtimes<PAN>time.preference<PAV>7pm<PAN>date.showing<PAV>Saturday<PAN>name.theater<PAV>island 16<PAN>name.movie<PAV>bad boys 3<PR>find_showtimes<PRAN>time.showing<PRAV>8pm<A>Bad boys 3 is playing at regal ronkonkoma at 7pm and at 8pm at island 16 in holtsville.<U>Ok I’d like to purchase the tickets for the 7 pm at regal ronkonkoma.<A>Would you like tickets for imax or general admission?<U>I would like regular please.<PN>check_tickets<PAN>name.movie<PAV>bad boys 3<PAN>name.theater<PAV>regal<PAN>num.tickets<PAV>2<PAN>seating<PAV>G7 and G8<PAN>date.showing<PAV>Saturday<PAN>time.preference<PAV>7pm<PR>check_tickets<PRAN>status<PRAV>available<A>Ok. I there are two seats, G7 and G8. Are these seats convenient?<U>No. I’d prefer something a little closer to the screen.<PN>check_tickets<PAN>seating<PAV>closer to the screen<PAN>date.showing<PAV>Saturday<PAN>time.preference<PAV>7 pm<PAN>num.tickets<PAV>2<PAN>name.theater<PAV>regal<PAN>name.movie<PAV>bad boys 3<PR>check_tickets<PRAN>status<PRAV>available<A>Ok. I have tickets for C2 and C3. Does that work for you?<U>Yes! Perfect!<A>Ok. You’re total is $32.50. Shall I proceed with the reservation ?<U>Yes please.<A>Will you be paying now or at the theater?<U>I’d like to pay at the theater.<A>Ok! You’re reservation will be for 2 tickets to bad boys 3 at 7pm at regal ronkonkoma? Is that correct?<U>Yes!<PN>book_tickets<PAN>name.movie<PAV>bad boys 3<PAN>name.theater<PAV>regal<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>7 pm<PAN>date.showing<PAV>Saturday<PAN>seating<PAV>any	[A]Ok your reservation has been made. Pick up your tickets at the ticket booth upon arrival.	dlg-fae021c7-ce40-4523-9f22-4a4c2e0e6e71
<U>Ok, book me two tickets for that.<C><U>Assistant, I would like to see the movie Parasite Sunday.<A>Ok, do you have a particular time and theater in mind?<U>Yes, I'd like to go around 2 p.m. to the Main Street Regal Theater.<A>Ok, let me check for you.<U>Sure.<PN>find_showtimes<PAN>name.movie<PAV>Parasite<PAN>name.theater<PAV>the Regal<PAN>date.showing<PAV>Sunday<PAN>time.preference<PAV>around 2 p.m<PR>find_showtimes<PRAN>time.showing<PRAV>2:20 p.m<A>There is a a 2:20 p.m. showing of the movie Parasite at the Regal Theater on Main Street on Sunday.<U>Alright, that sounds good and is it IMAX or regular digital.<A>That showtime is for a regular digital showing.	[A]So you'd like two tickets for the standard digital showing of the movie Parasite at 2:20 p.m. at the Main Street Regal theater on Sunday, is that correct.	dlg-2dc97013-8cfa-493a-bb13-cd9e3f07dfda
<U>I would say something spicy!<C><U>Hello!<A>Hello there! Welcome to the Hillview Theater!\tHow's your day?<U>Good, good. How was yours?<A>Not bad, for a typical weekday!<U>That's great!<A>What would you like to watch from our choices?	[PN]find_movies[PAN]description.other[PAV]something spicy![PAN]location[PAV]Hillview	dlg-34828c69-6bb6-46e9-8018-fa51469e800e
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<C><U>can you buy tickets for me in Davis theater, California?<A>No problem. Do you have a movie in mind?<U>i am thinking about No Time To Die.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Davis, California	[A]It looks like the nearest theater playing No Time To Die is at the AMC Mercado 24 in Sacramento, California.	dlg-b1066016-4ec6-41e3-988c-b41fb7ea5846
<U>okay choose last one you said<C><U>Hi we are planing to go for a movie<A>OK. And where will you be seeing the movie?<U>am preferring nearby my loaction<A>OK. Can you give me the city and state?<U>its Creek’s End, Oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>mmm i think its James Bond's movie<A>Ok. I think you are talking about No Time To Die. Does that sound right?<U>yes the same No Time To Die<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I think action movies are always a great choice. In Creek’s End, Oregon, I see that No Time To Die is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.	[PN]find_showtimes[PAN]name.movie[PAV]No Time To Die[PAN]date.showing[PAV]tonight[PAN]name.theater[PAV]AMC Mercado 24	dlg-859b9a00-7a90-49f3-bac3-fec094e6f870
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I would like to book a<A>Do you have a specific movie in mind?<U>Not really, what would you suggest?<A>there is this one called Beyond The Storm<U>I haven't heard of it before, is it any good?<A>yeah, it is about Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<U>sounds interesting who is the director<A>James Cameron is the director<U>nice, any other exciting movie currently showing?<A>if you like horror movies then you will like Shuttered<U>sounds interesting, what is about?<A>it is about Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<U>wow, I don't know which one I like better, but I think I will go with shuttered.<A>good choice, should I book some tickets for you?<U>yes I would like some tickets for that.<A>how many tickets will you need?<U>I need two tickets for me and my friend<A>what time do you prefer?<U>evening around 8pm<PN>book_tickets<PAN>name.movie<PAV>Shuttered<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>8pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]Your tickets are confirmed and they’ve been sent to your email address.	dlg-1f9d75e4-f69f-4ff1-913d-34953f95dff9
<U>I want to be able to laugh and have a good time.<C><U>Hey assistant, I'm thinking of going to them movies today. Do you know anything good that's playing?<A>Yeah, I went to the movies last weekend! What type of movie are you looking for?	[PN]find_movies[PAN]description.other[PAV]anything good	dlg-0cb248ad-313a-479e-855a-26165c6c5d17
<U>What's Shuttered's genre?<C><U>I want some tickets ASAP.<A>What movie do you want tickets for?<U>I'm split on two movies.<A>What do you want to know then?<U>What's Not My Problem's genre?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem's<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<A>It is in the Comedy genre.	[PN]get_movie_attribute[PAN]name.movie[PAV]Shuttered's[PAN]attribute[PAV]name.genre	dlg-44742d19-7032-463e-a229-05dbee4847f2
<U>I change my mind, I would like to see The Way Back instead.<C><U>I would like to see Baaghi 3 tomorrow.<PN>find_theaters<PAN>name.movie<PAV>Baaghi 3<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>Regal Meridian<A>Okay! The theater closest to you is the Regal Meridian, would you like to see it there?<U>Yes I would.<PN>find_showtimes<PAN>name.movie<PAV>Baaghi 3<PAN>name.theater<PAV>Regal Meridian<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>12:45pm<PRAV>4:30pm<PRAV>8:30pm<A>Sounds good. They have three showings tomorrow for Baaghi 3 at 12:45pm, 4:30pm, and 8:30pm at the Regal Meridian. Which one would you like to see?<U>I would like to see the 12:45pm.<A>Okay! I will book you tickets for the 12:45pm showing of Baaghi 3 at the Regal Meridian. How many tickets would you like?	[A]Alright. I will book tickets for The Way Back instead. Are these tickets still for tomorrow?	dlg-8452bd7f-156f-4cab-89be-372a75ea6323
<U>The 9:10pm showing is perfect.<C><U>I want to go to the movies at AMC Mountain 16.<A>No problem. Is there a particular type of movie you’re looking for?<U>I am looking for an action movie.<A>Sure. I can help with that. Let me check listings at AMC Mercado 24.<U>I want AMC Mountain 16, not AMC Mercado 24.<A>Oh, sorry about that. So you’re interested in action films at AMC Mountain 16, right?<U>Yes.<PN>find_movies<PAN>name.genre<PAV>action<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>OK. I see one action movie playing at AMC Mountain 16: No Time To Die. Remaining showtimes are 4:30pm, 6:40pm and 9:10pm. Does any of those work?	[A]Great. And how many tickets?	dlg-654d5339-b798-4cc0-b0d3-09cd01a014d2
<U>Like to know the showtime of IT 3<C><U>Hello<A>Hello	[PN]find_showtimes[PAN]name.movie[PAV]IT 3[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-53b0fd62-4425-42c2-aaa4-eda1fb35d678
<PR>find_theaters<PRAN>name.theater<PRAV>New Haven Royal Theatre<C><U>Is 1917 showing tonight?<PN>find_showtimes<PAN>name.movie<PAV>1917<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>6 pm<PRAV>9 pm<A>Yes, in New Haven it is showing at 6 pm and 9 pm<U>Okay, is there anything in between that?<PN>find_showtimes<PAN>name.movie<PAV>1917<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>4 pm<A>No. There are earlier showings at 4 pm.<U>What time is Cats showing in New Haven today?<PN>find_showtimes<PAN>name.movie<PAV>Cats<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>3 pm<PRAV>5:30 pm<PRAV>8 pm<PRAV>10 pm<A>Cats is showing at 3 pm, 5:30 pm, 8 pm and 10 pm in New Haven.<U>Where is it showing at 8 pm?<PN>find_theaters<PAN>name.movie<PAV>Cats<PAN>location<PAV>New Haven	[A]New Haven Royal Theatre	dlg-e79b90a9-5db3-4e65-95f0-d587325a9d61
<U>where is the location of the theater?<C><U>What are the show times for Aswathama?<PN>find_showtimes<PAN>name.movie<PAV>Aswathama<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:20pm<A>It is 4:20pm for the daytime showing.<U>Are there any other show times?<A><U>What type of movie is it classified under?<PN>get_movie_attribute<PAN>name.movie<PAV>Aswathama<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Drama/Mystery<A>It is a Drama/Mystery genera.<U>What is the movies running time please?<PN>get_movie_attribute<PAN>name.movie<PAV>Aswathama<PAN>attribute<PAV>duration.movie<PR>get_movie_attribute<PRAN>duration.movie<PRAV>2h 2m<A>It has a length of 2h 2m running time. Is there anything I can help with.	[A]The theater is located at 3898 Lafayette Rd, Indianapolis, IN 46254.	dlg-a0fb618e-657d-4cd3-97e7-bae2e04379a6
<U>Can you tell me more about Mulan?<C><U>I feel like going to the movies tonight.<A>Sure. What movie would you like to see?<U>Which movies are showing tonight at Boulevard 14 Cinema in Petaluma, California?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.	[A]Sure. What specifically would you like to know?	dlg-fce5249e-a98d-4172-8530-68f38833fd50
