<U>Yes, I'd like to buy movie tickets for today.	[A]I'd be glad to assist you. Do you know what you want to see, or would you like some help?	dlg-b422568e-0f8d-42f3-9bf3-e118807699ae
<U>No thanks, that's all I need.<C><U>I'm looking for a good movie to see tonight.<A>Sure. What movie would you like to see?<U>I'm not sure. Can you help me find a movie near me?<A>No problem. Can you tell me what city you’re in?<U>Look in theaters around Oak Valley, Arkansas.<PN>find_movies<PAN>location<PAV>Oak Valley, Arkansas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Emma<A>Ok. There are a couple of popular films out in your area: No Time To Die and Emma. Do either of those sound interesting?<U>No Time To Die looks good, but I don't know anything about Emma. Can you give me more info?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Emma<PR>get_movie_attribute<PRAN>description.plot<PRAV>In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her<A>OK. Here’s the description of Emma: In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her.<U>That sounds really interesting! Can you buy me two tickets for Emma?<PN>find_theaters<PAN>location<PAV>Oak Valley, Arkansas<PAN>name.movie<PAV>Emma<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<PN>find_showtimes<PAN>name.movie<PAV>Emma<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>OK. Emma is playing at AMC Mercado 24 today at 5:00pm, 7:10pm, and 9:45pm. Which time would you like?<U>I would like to see it at 7:10pm.<A>All right. Let me confirm that you’d like two tickets for Emma at AMC Mercado 24 tonight at 7:10pm. Is that all correct?<U>Yes.<A>Is it OK to go ahead and purchase these tickets?<U>Yup, go ahead.<PN>book_tickets<PAN>num.tickets<PAV>two<PAN>name.movie<PAV>Emma<PAN>name.theater<PAV>AMC Mercado 24<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>7:10pm<PR>book_tickets<PRAN>status<PRAV>success<A>OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	[A]OK. Enjoy your movie!	dlg-74da7e0f-a421-409a-90b5-5d1a0a4c8d19
<U>No. Is there another movie that is rated R?<C><U>Hello, what theatre's are available in Austin, TX near me tonight?<PN>find_theaters<PAN>location<PAV>Austin, TX<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Hill Country<PRAV>Moviehouse<PRAV>Eatery and Alamo Drafthouse<A>Hello. Cinemark Hill Country, Moviehouse & Eatery and Alamo Drafthouse.<U>Thank you. Which movies serve sit-down dining?<A>Are you looking for waitstaff service while you watch the movie?<U>Yes.<A>Moviehouse & Eatery provides dinner and drink service and is 6.2 miles from your home. Would you like to hear movies that are available tonight?<U>Yes, and I need 2 tickets.<A>Okay. I will look for two tickets. Also, you can ask for a full list of movies, ask for a list by genre, say the name of a movie, or search by rating if you'd like.<U>Bad Boys for LIfe.<PN>find_showtimes<PAN>name.movie<PAV>Bad Boys for LIfe<PAN>name.theater<PAV>Moviehouse & Eatery<PAN>date.showing<PAV>today<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>12:40pm<PRAV>3:55pm<PRAV>7:15pm<PRAV>10:25pm<A>Bad Boys for Life is play at 12:40pm, 3:55pm, 7:15pm, 10:25pm. Would you like tickets?<U>No. How about Fantasy Island?<PN>find_showtimes<PAN>name.movie<PAV>Fantasy Island<PAN>name.theater<PAV>Moviehouse & Eatery<PAN>date.showing<PAV>today<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>1:25pm<PRAV>7:20pm<PRAV>4:20pm<PRAV>10:15pm<A>Fantasy Island is play at 1:25pm, 4:20pm, 7:20pm and 10:15pm. Would you like tickets?<U>No. Is there a movie playing at 6:00 pm?<PN>find_movies<PAN>location<PAV>Austin, TX<PAN>name.theater<PAV>Moviehouse & Eatery<PR>find_movies<PRAN>name.movie<PRAV>Sonic the Hedgehog<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>Moviehouse & Eatery<PAN>date.showing<PAV>today<PAN>time.preference<PAV>6:00 pm<PR>find_showtimes<PRAN>time.showing<PRAV>6:00 pm<A>Sonic the Hedgehog is playing at 6:00 pm. Would you like to get tickets to that show?	[A]No. Not that that theatre. Would you like to try a different theatre?	dlg-291278f3-9cc4-4e62-8b03-d6490c92e009
<PR>find_showtimes<PRAN>time.showing<PRAV>1:25PM<C><U>I want to get two tickets for Jumanji: The Next Level.<A>I can assist you with that. Which theater would you like to go to?<U>I am thinking about going to the AMC Mobile 16 theater.<A>Do you have a showtime in mind?<U>No. What showtimes are playing today, March 4th, for this theater?<PN>find_showtimes<PAN>name.movie<PAV>Jumanji: The Next Level<PAN>name.theater<PAV>AMC Mobile 16<PAN>date.showing<PAV>today, March 4th<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1:15PM<PRAV>4:15PM<PRAV>7:00PM<A>For March 4th, Jumanji: The Next Level is playing at 1:15PM, 4:15PM, and 7:00PM.<U>How long is the movie supposed to be?<PN>get_movie_attribute<PAN>name.movie<PAV>Jumanji: The Next Level<PAN>attribute<PAV>duration.movie<PR>get_movie_attribute<PRAN>duration.movie<PRAV>one hour and 54 minutes<A>The movie is estimated to be one hour and 54 minutes long.<U>Is the movie available in 3-D?<A>Unfortunately, this movie is not available in 3D. It is only playing in the Standard format.<U>I really wanted to see this movie in 3D. I will have to change more order to another movie. Is Parasite playing at AMC Mobile 16?<PN>find_theaters<PAN>name.movie<PAV>Parasite<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mobile 16<A>Yes. Parasite is playing at AMC Mobile 16.<U>Is there a showtime around 1:00PM or 2:00PM?<PN>find_showtimes<PAN>name.movie<PAV>Parasite<PAN>name.theater<PAV>AMC Mobile 16<PAN>date.showing<PAV>today, March 4th<PAN>time.preference<PAV>around 1:00PM or 2:00PM	[A]There is a showtime at 1:25PM. Would you like to book tickets for this showtime?	dlg-a3a2a0f3-d671-4f52-bd30-f741b7f71c86
<U>Yes.<C><U>Hi, can you please order me movie tickets?<A>Sure. What movie will you be seeing?<U>Bad Boys for Life in IMAX.<A>Got it. Which theater?<U>AMC Webster<PN>find_theaters<PAN>name.movie<PAV>Bad Boys for Life<PAN>type.screening<PAV>IMAX<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Webster<A>Bad Boys for Life is not playing in IMAX at AMC Webster.<U>Ok. I will see it in standard.<PN>find_showtimes<PAN>name.movie<PAV>Bad Boys for Life<PAN>name.theater<PAV>AMC Webster<PAN>date.showing<PAV>today<PAN>type.screening<PAV>standard<PR>find_showtimes<PRAN>time.showing<PRAV>7pm<PRAV>9pm<A>Alright. The showtimes are 7pm and 9pm, which do you prefer?<U>7pm please.<A>Got it. How many tickets will you need?<U>2<A>Alright. Should I order two tickets for the 7pm showing of Bad Boys for Life at AMC Webster?	[PN]book_tickets[PAN]name.movie[PAV]Bad Boys for Life[PAN]name.theater[PAV]AMC Webster[PAN]num.tickets[PAV]2[PAN]time.showing[PAV]7pm[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-0983ace2-9fb1-4f05-9c6b-7823f3a3071e
"<PR>book_tickets<PRAN>status<PRAV>success<C><U>My college roommates are coming over and I thought we'd be able to catch a movie on Monday night.<A>Watching a movie is an excellent activity to do with friends! What movie were you thinking of?<U>We used to always watch hilarious comedies in the dorms that had us cracking up all night. Are there any good comedies out?<PN>find_movies<PAN>name.genre<PAV>comedies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>""Not My Problem""<PRAV>""Family Jewels.""<A>""Not My Problem"" is one.<U>I don't think I've heard about that movie. What's it about?<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>It has to do with a troubled teen introducing his elderly neighbor to a different world<A>It has to do with a troubled teen introducing his elderly neighbor to a different world.<U>I'm not sure if my roommates would like that one too much. Are there any other comedies?<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels.""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romcom<A>There is also the romcom ""Family Jewels.""<U>Well, can you tell me what that one's about?<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels.""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>It follows a famous diamond dealer leaving Europe for a fake romance with an American con artist<A>It follows a famous diamond dealer leaving Europe for a fake romance with an American con artist.<U>Hmm... Well romcoms aren't really our thing. How did both of those movies get reviewed?<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>received a score of 72% on Rotten Tomatoes<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels.""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>received a score of 69%<A>""Not My Problem"" received a score of 72% on Rotten Tomatoes while ""Family Jewels"" received a score of 69%.<U>Well, I guess we'll just go with ""Not My Problem."" When is it playing in Spring Hill, Kansas?<PN>resolve_location<PAN>location<PAV>Spring Hill, Kansas<PR>resolve_location<PRAN>location<PRAV>Spring Hill, Kansas<PN>find_theaters<PAN>name.movie<PAV>""Not My Problem""<PAN>location<PAV>Spring Hill, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>""Not My Problem""<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>Monday night<PAN>time.preference<PAV>night<PR>find_showtimes<PRAN>time.showing<PRAV>1:00 PM<PRAV>3:55 PM<PRAV>7:00 PM<PRAV>10:05 PM<A>""Not My Problem"" is playing at the AMC Holiday Theater at 1:00 PM, 3:55 PM, 7:00 PM, and 10:05 PM.<U>Let's go with the latest show time.<A>OK. How many tickets will you be needing?<U>I will be purchasing six tickets all together.<A>So that's six tickets for ""Not My Problem"" at 10:05 PM on Monday night at the AMC Holiday Theater in Spring Hill, Kansas?<U>Yep, that's everything.<PN>book_tickets<PAN>name.movie<PAV>""Not My Problem""<PAN>name.theater<PAV>AMC Holiday Theater<PAN>num.tickets<PAV>six<PAN>time.showing<PAV>10:05 PM<PAN>date.showing<PAV>Monday night<PAN>seating<PAV>all together"	[A]Your tickets are confirmed and they've been sent to your email address.	dlg-23abed88-283c-4382-a134-d1001e01de2e
"<PR>get_movie_attribute<PRAN>description.plot<PRAV>""Sadie’s life is busy enough with a teenager and two jobs but things get crazy when she gets unexpected news from her doctor.""<C><U>I'd like to catch a movie today.<A>Sure. Which theater would you like to see it at?<U>Paramount Ultraplex in Needles California.<A>How many tickets?<U>Three, for me and two of my friends.<A>Okay; which movie do you want to see?<U>I'm not sure. Can you give me a synopsis for two movies?<A>Yes, which movies?<U>Give me the synopsis for The Catch, first.<PN>get_movie_attribute<PAN>name.movie<PAV>The Catch<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>""Old Man McCormick enjoys his quiet days on the river until an unwanted package changes things forever.""<A>""Old Man McCormick enjoys his quiet days on the river until an unwanted package changes things forever.""<U>What are the show times?<PN>find_showtimes<PAN>name.movie<PAV>The Catch<PAN>name.theater<PAV>Paramount Ultraplex<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>6:10pm<PRAV>8:30pm<PRAV>10:40pm<A>The show times for The Catch are 4:00pm, 6:10pm, 8:30pm and 10:40pm.<U>I don't know. It doesn't sound like a movie for me. How about a synopsis for Two Times Trouble?<PN>get_movie_attribute<PAN>name.movie<PAV>Two Times Trouble<PAN>attribute<PAV>description.plot"	"[A]""Sadie’s life is busy enough with a teenager and two jobs but things get crazy when she gets unexpected news from her doctor."""	dlg-29c572b0-5986-4528-a3d9-9d082e7559b2
<U>Something kind of, you know, spy stuff . . . like James Bond<C><U>I wanna go see a movie tonight.<A>OK. And where will you be seeing the movie?<U>Somewhere near here.<A>OK. Can you give me the city and state?<U>Creek's End, Oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?	[A]Ok. I think you are talking about No Time To Die. Does that sound right?	dlg-d8b51c15-f723-4868-86fb-249618d38606
<U>What are Not My Problem and Family Jewels about?<C><U>I'd like to see a movie today<A>Where are you located?<U>Spring Hills, Kansas<A>Okay, do you have a movie in mind?<U>No, but I can only go this afternoon<A>There are several movies showing in the afternoon in Spring Hill.<U>What are they<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not my problem<PRAV>family jewels<PRAV>Beyond the Storm<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Not my problem<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>family jewels<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Beyond the Storm<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<A>Not my problem and family jewels are showing at the AMC Holiday and Beyond the Storm is at the Cinemark Downtown.	[PN]get_movie_attribute[PAN]name.movie[PAV]Not my problem[PAN]attribute[PAV]description.plot	dlg-a7381feb-bc9b-4371-b39b-44df03c59541
<U>I want to know more about movies in Dallas, Texas. What about the Korean family film.	[PN]resolve_movie[PAN]name.movie[PAV]the Korean family film	dlg-8da0623b-be8a-4336-b8d9-6ecd41dde860
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Hey, can I book a movie ticket?<A>Of course. Do you have a movie in mind?<U>Yeah, I'm planning on seeing Fantasy Island. It's the new horror movie, right?<PN>get_movie_attribute<PAN>name.movie<PAV>Fantasy Island<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>hybrid horror-mystery<A>Yes, it was recently released as a hybrid horror-mystery film. When would you like to see it?<U>Well, I've got next Friday off from work, so I wanted to go see it on Thursday night since I can sleep in the next morning.<A>The 27th? Alright, there are several theaters showing Fantasy Island then.<U>Great! Anything late? I like my scary movies in the dark. That's why I'm seeing it alone. Nobody else I know does, haha.<A>Depending on how late you would like, there are showtimes after sunset available at any time from 6:20 to 11:00 PM.<U>The later the better this time. What's playing it here in Albuquerque after 9:30?<PN>find_theaters<PAN>name.movie<PAV>Fantasy Island<PAN>location<PAV>Albuquerque<PR>find_theaters<PRAN>name.theater<PRAV>The Regal Winrock<PRAV>Flix Brewhouse<PN>find_showtimes<PAN>name.movie<PAV>Fantasy Island<PAN>name.theater<PAV>The Regal Winrock<PAN>date.showing<PAV>Thursday<PAN>time.preference<PAV>after 9:30<PR>find_showtimes<PRAN>time.showing<PRAV>10:15 PM<PN>find_showtimes<PAN>name.movie<PAV>Fantasy Island<PAN>name.theater<PAV>Flix Brewhouse<PAN>date.showing<PAV>Thursday<PAN>time.preference<PAV>after 9:30<PR>find_showtimes<PRAN>time.showing<PRAV>11:00 PM<A>The Regal Winrock has a showing at 10:15 PM, and the Flix Brewhouse has the latest showing at 11:00 PM. All screenings are standard. I hope that's acceptable.<U>Yeah, standard is good for me. I'll pick the Regal. I like my scary movies late, but not scary because of a bunch of drunk people, and I know the Flix serves alcohol.<A>Alright. One ticket for the standard screening of Fantasy Island at 10:15 PM at the Regal Winrock theater on Thursday the 27th?<U>That sounds right. I hope it's good. Hey, wait, what's the Invisible Man? I just saw it on the movies being advertised online.<PN>get_movie_attribute<PAN>name.movie<PAV>the Invisible Man<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror-mystery<PN>get_movie_attribute<PAN>name.movie<PAV>the Invisible Man<PAN>attribute<PAV>date.release<PR>get_movie_attribute<PRAN>date.release<PRAV>Thursday night<A>The Invisible Man is a new horror-mystery film based on the famous novel that opens on Thursday night.<U>I remember reading that book! I couldn't put it down! Are there still seats available on Thursday for that?<PN>find_showtimes<PAN>name.movie<PAV>the Invisible Man<PAN>name.theater<PAV>Regal Winrock theater<PAN>date.showing<PAV>Thursday the 27th<PAN>type.screening<PAV>IMAX<PAN>time.preference<PAV>after 9:30<PR>find_showtimes<PRAN>time.showing<PRAV>10:10<PN>find_showtimes<PAN>name.movie<PAV>the Invisible Man<PAN>name.theater<PAV>Regal Winrock theater<PAN>date.showing<PAV>Thursday the 27th<PAN>type.screening<PAV>IMAX<PAN>time.preference<PAV>after 9:30<PR>find_showtimes<PRAN>time.showing<PRAV>10:30<A>Yes, several. Would you like to hear a full list, or stick with the Regal Winrock theater? It has an IMAX showing at 10:10 and a standard showing at 10:30.<U>I'll stay with the Regal, and I'll absolutely go IMAX for this movie.<A>I can tell you're excited! Shall I book you one ticket for the 10:10 PM IMAX screening of The Invisible Man at the Regal Winrock theater on Thursday the 27th?<U>Yes, perfect!<PN>book_tickets<PAN>name.movie<PAV>the Invisible Man<PAN>name.theater<PAV>The Regal Winrock<PAN>num.tickets<PAV>One<PAN>time.showing<PAV>10:10 PM<PAN>date.showing<PAV>Thursday the 27th<PAN>seating<PAV>any	[A]Great to hear! I've purchased your ticket. You'll get a text confirming your booking momentarily.	dlg-f9000934-8c88-4a3f-b9dc-21f7629b194e
<U>thank you<C><U>hello assistant<A>hello there, how do you do today?<U>I'm a lot better thanks, yourself?<A>I'm great as usual. what might i help you with?<U>I was thinking about seeing a movie.<A>Oh, that'd be great. what kind of movie would you like to see?<U>i was thinking of an adventure movie<A>I've got two in mind.<U>OK list them, i might be interested<PN>find_movies<PAN>name.genre<PAV>adventure<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Star Wars: The Rise of Skywalker<PRAV>Jumanji: The Next Level<A>you would love Star Wars: The Rise of Skywalker or Jumanji: The Next Level<U>Ha! that's a great suggestion. i personally want to see Jumanji: The Next Level with the family. it seem a good family movie.<A>Yes it is a good family movie.<U>can you help me book a ticket for 3 at Cinemark Western Hills 14<A>sure i can do that	[A]what would be your preferred showtime?	dlg-e6be525e-8f94-4b7d-80dd-8e6d3f86af9d
<U>yep! you got it<C><U>What films are on tonight?<A>Where would you like to go?<U>Cinemark downtown<PN>find_movies<PAN>name.theater<PAV>Cinemark downtown<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Back Country<PRAV>Beyond the storm<A>currently they have playing Back Country and Beyond the storm<U>Beyond the storm sounds interesting what is the description?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the storm<PAN>attribute<PAV>name.character<PR>get_movie_attribute<PRAN>name.character<PRAV>Captain John’s<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<A>Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81% - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.<U>How about backcountry?<PN>get_movie_attribute<PAN>name.movie<PAV>Back Country<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary (outdoor)<PN>get_movie_attribute<PAN>name.movie<PAV>Back Country<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<PN>get_movie_attribute<PAN>name.movie<PAV>Back Country<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 91%<PN>get_movie_attribute<PAN>name.movie<PAV>Back Country<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks<A>Backcountry - Documentary (outdoor) - rated G - Rotten Tomatoes 91% - Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks.<U>Let's go with beyond the storm<PN>find_showtimes<PAN>name.movie<PAV>Beyond the storm<PAN>name.theater<PAV>Cinemark downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>1:30pm<PRAV>3:40<PRAV>6:10pm<PRAV>8:30pm<A>What time would you like to go? The viewing times are 1:30pm - 3:40 - 6:10pm - 8:30pm<U>I'll book the 130pm please<A>how many tickets would you like?<U>2 please<A>That's for today correct?<U>yes<A>Just to confirm thats 2 tickets for Beyond the storm at 1:30 pm today at Cinemark Downtown, anything else?	[A]Anything else for you today?	dlg-4f5bbeb4-d173-4146-bbc3-451d0aced768
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Yes, I'd like to get some movie tickets for tonight but I need to pick out a movie first.<A>Okay, I can help you with that. First, I need to know where you are located.<U>I am in Spring Hills, Kansas.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PRAV>Cinemark Downtown<A>Okay, there are two theaters in Spring Hills, Kansas. They are the AMC Holiday Theater and the Cinemark Downtown. Which of those were you planning to go to?<U>I don't know yet. It depends on which movie I pick.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>AMC Holiday Theater<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>Cinemark Downtown<PR>find_movies<PRAN>name.movie<PRAV>Beyond the Storm<PRAV>Backcountry<A>Okay, The AMC Holiday Theater is showing Not My Problem, Family Jewels, and Shuttered. The Cinemark Downtown as Beyond the Storm and Backcountry. Which of those would you like?<U>Hmm,not sure. I need some more information. I'd like a movie that I can take my family to and feel relaxed about it. Is one of those family friendly?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>documentary<A>Backcountry would be the most family friendly of the movies. It is an award winning documentary about Yosemite National Park.<U>If I don't like it I could go to the other one. What is the other movie showing with it about?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>drama<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>fishing boat in the North Sea. The weather turns stormy and there is a traitor on board the boat<A>Beyond the Storm is a drama set on a fishing boat in the North Sea. The weather turns stormy and there is a traitor on board the boat.<U>Which of those two has the latest showing time?<PN>find_showtimes<PAN>name.movie<PAV>Backcountry<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>latest<PR>find_showtimes<PRAN>time.showing<PRAV>10:15pm<PRAV>7:30pm<A>Backcountry has the latest showing time of 10:15pm tonight.<U>I guess I'll go with that one.<A>Great! How many tickets would you like?<U>I need seven tickets for tonight but hang on. I just got a text. Change the showtime to the next latest time instead.<A>That would be 7:30pm.<U>That's fine.<A>Okay, so I've got you needing seven tickets for tonight to see Backcountry at the Cinemark Downtown in Spring Hills, Kansas. Is that right?<U>That's right.<PN>book_tickets<PAN>name.movie<PAV>Backcountry<PAN>name.theater<PAV>Cinemark Downtown<PAN>num.tickets<PAV>seven<PAN>time.showing<PAV>7:30pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]Your tickets are confirmed and they’ve been sent to your email address.	dlg-43596a24-2658-4b60-ab80-99ee405df4dc
<U>ok<C><U>Hi<A>Hi sir,<U>Is this Legacy Monument Family 12 theater ?<A>yes sir , what can I help you sir<U>I would like to movie ticket<A>ok sir, which movie you want to booking sir<U>Movie nam is Sam’s Delight<A>Ok sir, which show you want to booking sir<U>8.40 pm show ticket,<A>How many tickets want to you sir<U>I need 2 tickets, for My friend and I<A>Ok sir<U>ok<A>sir, your ticket now booking sir<U>ok<PN>book_tickets<PAN>name.movie<PAV>Sam’s Delight<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>8.40 pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>book_tickets<PRAN>status<PRAV>success<A>show time is 8.40 pm confirmed booking sir	[A]I share ticket confirmation copy mail to you?	dlg-e6486636-6dfd-4f31-8c00-9f442fb1fab5
<U>Sure.<C><U>Hi there. I'd like to book some movie tickets.<A>Can do! Where do you live?<U>I'm in Seven Trees, Nebraska.<A>OK, what theater do you want to go to?<U>I'm trying to find out which theater is nearest.<PN>find_theaters<PAN>location<PAV>Seven Trees, Nebraska<PR>find_theaters<PRAN>name.theater<PRAV>Mountain AMC 16<PRAV>Holiday Cinemark 12<A>Well, there's Mountain AMC 16.<U>How far away is that theater?<A>It's 22 miles away, in the town of North Fork.<U>That's pretty far away.<A>Want me to try and find another one?	[A]There is the Holiday Cinemark 12, which is 30 miles away in the town of Butte Crest.	dlg-33a856d0-f11a-49fb-8c1e-632122a5b9a2
<U>As I said before, AMC Mountain 16! Got it?<C><U>What's available tonight at AMC Mountain 16? I want to see a movie there.<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>Its in Santa Barbara, California.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?	[A]Sorry for the trouble but I wanted to make sure I have it right.	dlg-938549e6-f103-4b7a-852e-a1b07601d6a7
<U>Hello there. I need to get two tickets for Bad Boys For life, at Oakridge Century theaters in San Jose, for 9pm tonight please.	[PN]check_tickets[PAN]name.movie[PAV]Bad Boys For life[PAN]name.theater[PAV]Oakridge Century[PAN]num.tickets[PAV]two[PAN]time.preference[PAV]9pm[PAN]date.showing[PAV]tonight[PAN]seating[PAV]any	dlg-19773e7a-c407-4360-9394-f79bfabea1e9
