<U>Purchase two tickets for Mulan for 4pm today.	[A]Do you want to purchase two tickets for Mulan at 6:10pm today?	dlg-f15a36b2-3c86-4397-9b71-76b70908dc8e
<U>Oooh! It looks so cute!<C><U>Hey, do you have any good movie suggestions?<A>Yeah! Let me know what you're into!<U>I like movies that have a little bit of a thriller element but also horror and animation movies!<A>Oh! I have just the movie for you!<U>What is it?<PN>find_movies<PAN>name.genre<PAV>horror<PAN>location<PAV>nearby<PAN>description.other<PAV>good movie<PR>find_movies<PRAN>name.movie<PRAV>Joker!<A>Joker! It's a new movie about the villain from Batman!<U>Oh? What's it like?<PN>get_movie_attribute<PAN>name.movie<PAV>Joker!<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>thriller<PN>get_movie_attribute<PAN>name.movie<PAV>Joker!<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<A>It's a thriller with a R rating but it's really good!<U>Cool! Do you have any other recommendations if I can't go to that one?<PN>find_movies<PAN>name.genre<PAV>thriller<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Frozen 2<A>Frozen 2. It's a sequel to the one that came out a while ago!	[A]Yes I loved the first one!	dlg-a3faeca6-a1be-4a72-ad18-7c4c0d45b707
<U>Oh those are nice theaters.<C><U>I want to get movie tickets for tonight please<A>OK. Can you tell me the city and state where the theater is located?<U>I'm in Santa Barbara, California<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I see two theaters, AMC Mountain 16 and AMC Mercado 24. Are you interested in a particular movie?	[A]OK. Is there a movie you have in mind?	dlg-ebd75be0-2056-4654-a88d-dde26476b45e
"<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<C><U>I am interested to buying the movie ticket in tonight atCine mark Downtown<PN>resolve_theater<PAN>name.theater<PAV>atCine mark Downtown<PAN>location<PAV>nearby<PR>resolve_theater<PRAN>name.theater<PRAV>Cine mark Downtown<A>Do have a choice on your mind<U>No don't have mind can you tell me the movie list.<PN>find_movies<PAN>name.theater<PAV>Cine mark Downtown<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Beyond the Storm<PRAV>Back country<A>There are two movies playing on Cine mark Downtown Beyond the Storm and Back country.<U>Which one is best can you guide me?<A>Which type of movie you prefer?<U>I like ""Action"" movies<PN>find_movies<PAN>name.genre<PAV>""Action""<PAN>location<PAV>nearby<PAN>name.theater<PAV>Cine mark Downtown<PR>find_movies<PRAN>name.movie<PRAV>Beyond the Storm<A>I think ""Beyond the Storm"" is better for you<U>Who is the director of ""Beyond the Storm"" ?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.person"	[A]the movie directed by James Cameron.	dlg-6468648d-f7f6-42f9-859a-81d0c6fcccd9
<U>Yes that works<C><U>I wanna see a movie<A>what city?<U>spring hills arkansas<PN>find_theaters<PAN>location<PAV>spring hills arkansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PRAV>Cinemark Downtown<A>there are 2 theaters near you, the AMC Holiday Theater and Cinemark Downtown. Did you know which movie you'd like to see?<U>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>There's the comedy film called Not My Problem starring Matt Damon and Noah Schnapp. There's also a romantic comedy called Family Jewels starring Melissa McCarthy and Ryan Reynolds.<U>what are the ratings?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<A>Not My Problem is rated PG-13 and Family Jewels is rated R.<U>R is too much<A>so Not My Problem?	[A]Okay and what time?	dlg-fa9b4702-ad01-4020-a23b-30cca282396b
"<U>Tonight.<C><U>Mom wants to see ""Possession"", can you get us tickets at the Ultra?<PN>find_theaters<PAN>name.movie<PAV>""Possession""<PAN>location<PAV>Cedar Creek<PR>find_theaters<PRAN>name.theater<PRAV>Cima Ultraplex 20<PN>find_showtimes<PAN>name.movie<PAV>""Possession""<PAN>location<PAV>Cedar Creek<PAN>name.theater<PAV>Cima Ultraplex 20<PR>find_showtimes<PRAN>time.showing<PRAV>4:00 PM<PRAV>6:10 PM<PRAV>8:30 PM<A>The movie ""Possession"" is currently playing at the Cedar Creek Cima Ultraplex 20 at 4:00 PM, 6:10 PM and 8:30 PM.<U>There is nothing later?<A>No, there are no later showtimes for the movie ""Possession"" at the Cima Ultraplex 20.<U>Is it playing at the other theater?<PN>find_theaters<PAN>name.movie<PAV>""Possession""<PAN>location<PAV>Cedar Creek<PR>find_theaters<PRAN>name.theater<PRAV>Northgate Cinemas 12<PN>find_showtimes<PAN>name.movie<PAV>""Possession""<PAN>location<PAV>Cedar Creek<PAN>name.theater<PAV>Northgate Cinemas 12<PR>find_showtimes<PRAN>time.showing<PRAV>6:00 PM<PRAV>8:10 PM<PRAV>10:25 PM<A>The movie ""Possession"" is currently playing at the Northgate Cinemas 12 at 6:00 PM, 8:10 PM and 10:25 PM.<U>Are there tickets for the ten twenty-five?<A>What day?"	[A]How many tickets did you need?	dlg-61a0661b-9980-4024-b21b-95d28bce9a55
<U>Hi, I live in Hillview, Washington near the Cinemark and AMC theaters. What's playing?	[PN]resolve_location[PAN]location[PAV]Hillview, Washington	dlg-39944de5-6b5d-4d42-9493-17149b9fedb4
<U>That's great could you purchase 2 tickets to the 7:15?<C><U>Hello. I am thinking of hitting a movie tonight. Can you get me tickets?<A>I can do that.<U>What adventure movies are out?<PN>find_movies<PAN>name.genre<PAV>adventure<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Star Wars<PRAV>Bad Boys for Life<PRAV>Gretel and Hansel<A>There is Star Wars, Bad Boys for Life, and Gretel and Hansel. Would you like to see any of those?<U>I don't think so. What else is popular at the box?<PN>find_movies<PAN>description.other<PAV>popular at the box<PR>find_movies<PRAN>name.movie<PRAV>Doolittle<PRAV>The Gentlemen<A>There is Doolittle or The Gentlemen?<U>What is the Rotten score for The Gentlemen?<PN>get_movie_attribute<PAN>name.movie<PAV>The Gentlemen<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>has a rotten score of 73%<A>The Rotten score for The Gentlemen has a rotten score of 73%.<U>I think I would like 2 tickets to The Gentlemen.<A>okay. What theater would you like?<U>Is it showing at the B & B theater?<PN>find_showtimes<PAN>name.movie<PAV>The Gentlemen<PAN>name.theater<PAV>B & B theater<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>7:15<PRAV>9:20<A>Yes. There is a 7:15 and 9:20 show at the B & B.<U>Good. What type of theaters are those showing in?<A>They are both lounge chair seating.	[A]Yes. So, you would like 2 tickets to the 7:15 showing of the Gentlemen at the B & B?	dlg-d46b7797-016c-40c1-b815-d737977b6bfa
<U>Yes please.<C><U>Hi want to see a movie<A>Okay, what movie?<U>1917<A>1971 got it<U>No I said 1917.<A>Oh sorry. You want 1917<U>Yes thanks<PN>find_theaters<PAN>name.movie<PAV>1917<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Oakridge<A>1917 is playing today at AMC Oakridge<U>Okay what times?<PN>find_showtimes<PAN>name.movie<PAV>1917<PAN>name.theater<PAV>AMC Oakridge<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>7pm<PRAV>10pm<A>7pm and 10pm<U>Oh okay I like the 10pm<A>Okay perfect. How many?<U>There will be 2 adults<A>Great two adults.<U>Yes.<A>Any special type of viewing needs?<U>Nope.<A>Okay great. Let me see if that is available.<U>Thanks.<A>Okay, I have 2 adults for 10pm showing of 1917. Confirmed?	[PN]book_tickets[PAN]name.movie[PAV]1917[PAN]name.theater[PAV]AMC Oakridge[PAN]num.tickets[PAV]2 adults[PAN]time.showing[PAV]10pm[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-c5631200-621b-4b1b-8834-018cc9b2a706
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I'd like to go see a movie.<A>Okay, what movies are you interested in?<U>I'd like to see something that has good reviews and great special effects.<A>Great, I'll google some movies for you that you can see.<U>Thank you!<PN>find_movies<PAN>description.other<PAV>good reviews and great special effects<PAN>location<PAV>near you<PR>find_movies<PRAN>name.movie<PRAV>Joker<PRAV>Gemini Man<PRAV>Downton Abbey<PRAV>Hustlers<PRAV>Rambo<A>Some movies playing near you include Joker, Gemini Man, Downton Abbey, Hustlers and Rambo.<U>Joker and Rambo sound pretty good. Which one has better reviews?<PN>get_movie_attribute<PAN>name.movie<PAV>Rambo<PAN>attribute<PAV>review.audience<PR>get_movie_attribute<PRAN>review.audience<PRAV>not reviewing very well<PN>get_movie_attribute<PAN>name.movie<PAV>Joker<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>reviewing very well<A>Rambo is not reviewing very well. Joker is reviewing very well.<U>Are these movies reviewing well with critics or audiences?<A>It seems that audiences like both movies, but Joker is receiving higher audience review scores than Rambo.<U>Okay great. Which movie has better special effects?<A>It seems like Rambo has more special effects than Joker.<U>Okay. Does Joker have any special effects at all?<A>Joker has some special effects, but it seems to be more of a character driven movie.<U>Okay. Which movie do you think I should see?<A>Based on the reviews, I think you should see Joker.<U>I think that's a good idea. What times is it showing?<PN>find_showtimes<PAN>name.movie<PAV>Joker<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>10:30 PM<A>The closest theater to you is showing Joker at 10:30 PM.<U>Great. Buy tickets for that showing.<PN>book_tickets<PAN>name.movie<PAV>Joker<PAN>num.tickets<PAV>one<PAN>time.showing<PAV>10:30 PM<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]I've purchased tickets for Joker at 10:30PM.	dlg-5cd1104c-fbdb-4d69-ab6c-2a3a4b193192
<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem:<PRAV>10:05pmFamily Jewels:<PRAV>8:10pmShuttered:<C><U>I would like to see a movie with my bestfriend and uncle, but I am not sure what to see.<A>How many people will you need tickets for?<U>I will need 3 tickets.<A>What is your location?<U>I am located in Spring Hills, Kansas. What movies are playing in the theater near my location?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>AMC Holiday Theater	[PN]find_movies[PAN]location[PAV]Spring Hills, Kansas[PAN]name.theater[PAV]Cinemark Downtown	dlg-290754ca-2606-4146-afa5-4f53a5e422c1
"<U>What about ""Family Jewels?""<C><U>What comedies are currently playing in theaters?<PN>find_movies<PAN>name.genre<PAV>comedies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>""Not My Problem""<PRAV>""Family Jewels""<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>There's ""Not My Problem"" starring Matt Damon and Noah Schnapp, and ""Family Jewels"" starring Melissa McCarthy and Ryan Reynolds.<U>What are the Rotten Tomato scores for those movies?<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomato score of 72%<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>score of 69%<A>""Not My Problem"" has a Rotten Tomato score of 72% while ""Family Jewels"" has a score of 69%.<U>What are their movie ratings?<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<A>""Not My Problem"" is rated PG-13, and ""Family Jewels"" has an R rating.<U>Is ""Not My Problem"" general comedy or some sub category of comedy?<PN>get_movie_attribute<PAN>attribute<PAV>name.genre<PAN>name.movie<PAV>""Not My Problem""<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<A>""Not My Problem"" is general comedy."	"[PN]get_movie_attribute[PAN]name.movie[PAV]""Family Jewels""[PAN]attribute[PAV]name.genre"	dlg-87c45dcf-74fa-453a-9ef9-04d1ae9ae078
<PR>get_movie_attribute<PRAN>name.genre<PRAV>action/adventure<C><U>What's the recent movies releases in theaters?<PN>find_movies<PAN>description.other<PAV>recent movies releases<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Bad Boys For Life<PRAV>Birds of Prey<PRAV>1917<A>The recent movies in theaters are Bad Boys For Life, Birds of Prey, and 1917.<U>Oh, is this Birds of Prey movie in the DC cinematic universe?<PN>find_theaters<PAN>name.movie<PAV>Birds of Prey<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC River East 21<A>Yes, it is.<U>What's the runtime for that movie?<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>duration.movie<PR>get_movie_attribute<PRAN>duration.movie<PRAV>1 hour, 49 minutes<A>Birds of Prey has a runtime of 1 hour, 49 minutes.<U>What are the actors in this movie?<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Margot Robbie<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Mary Elizabeth Winstead<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ewan McGregor<A>Birds of Prey stars Margot Robbie, Mary Elizabeth Winstead, and Ewan McGregor.<U>Ok, what's the genre this movie is in?<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>name.genre	[A]It is action/adventure.	dlg-dd3b6e98-186f-4b6f-94cb-116990f1e78f
<U>How about instead I change the theater to another one, can you check for showtimes in Bianchi Theatre?<C><U>Hello, I would like to reserve tickets to see The Grudge this Thursday.<A>Of course, which theater were you planning on reserving tickets for The Grudge?<U>The Pacific Lakewood Center Stadium 16, and I would like to reserve two tickets for the movie.<A>What is your preferred time for a movie showing, or would you like to pick whatever is available?<U>I actually want to get tickets to an early standard showing in the morning, specifically around 10:40 am.<PN>find_showtimes<PAN>name.movie<PAV>The Grudge<PAN>name.theater<PAV>The Pacific Lakewood Center Stadium 16<PAN>date.showing<PAV>this Thursday<PAN>type.screening<PAV>standard<PAN>time.preference<PAV>around 10:40 am<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>For that specific time, there are no showings for The Grudge at this theater?<U>Are there any showings near that time, what else is available for that movie?<PN>find_showtimes<PAN>name.movie<PAV>The Grudge<PAN>name.theater<PAV>The Pacific Lakewood Center Stadium 16<PAN>date.showing<PAV>this Thursday<PAN>type.screening<PAV>standard<PAN>time.preference<PAV>around 10:40 am<PR>find_showtimes<PRAN>time.showing<PRAV>2:00 pm<A>There is a later showtime at 2:00 pm, would that be acceptable for this reservation?<U>I don't think my friend would be able to make it for that time, they have to work on that day in the afternoon.<A>I'm sorry to hear that, may I suggest another movie to watch?	[A]Of course, would you like to keep your original time preference for this new theater?	dlg-b37159d1-6d82-4a85-8dab-560f3432e488
<U>Thank you.<C><U>I need to buy movie tickets<A>Alright, what movie did you have in mind?<U>Bad Boys for Life<A>What day will you be seeing the movie?<U>This Thursday, the 5th.<A>Understood. How many tickets do you want to purchase?<U>Four tickets<A>And which theater will you be going to?<U>AMC NorthPark 15<A>Do you prefer a certain screen type.<U>Just standard screen, please.<A>And finally, which showtime did you want tickets for?<U>The 5:00 PM one<A>To confirm, I have five tickets to Bad Boys for Life on standard screen at 5:00 PM on March 5th at AMC NorthPark 15. Is that all correct?<U>No, you said five tickets. I wanted four tickets.<A>I apologize. I have made the change to four tickets.	[A]Are you ready to complete your order?	dlg-24491086-73b5-41dd-8d7a-d4977e65bded
<U>Jumanji.<C><U>I want to see a movie Sunday please.<A>Which theater for?<U>UA Nashville 44<A>Which movie do you want to see?	[A]Ok, how many tickets do you need.	dlg-d07898d5-4fff-4916-ad4f-1c1effe3959a
<U>this seems more interesting ...I will go for Backcountry<C><U>Hello i'm planning to watch movie tonight<A>any specific movie would you interested in?<U>No not really ...what options are available?<A>sure but for that please let me about your location?<U>i m from Spring Hills Kansas<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PR>find_movies<PRAN>name.movie<PRAV>Backcountry<PRAV>Not My Problem<A>there are 2 movie options available<U>okay let me know with the background please<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Movie1: Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>okay and the second one?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary (outdoor)<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 91%<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks<A>Movie2: Backcountry - Documentary (outdoor) - rated G - Rotten Tomatoes 91% - Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks.	[PN]find_theaters[PAN]location[PAV]Spring Hills Kansas[PAN]name.movie[PAV]Backcountry	dlg-753ad1bc-68c4-45c9-bec9-bde23030d2df
<U>Hello assistant	[A]Hi, how may i help you today?	dlg-59f5da5a-2e78-45f8-9833-915105a4c14b
"<U>Thank you so much.<C><U>Hi, I would like to purchase tickets for a movie at the Cinemark Downtown.<A>I can help you with that! Do you know what movie you'd like to watch?<U>I'm not sure, what movies are showing?<PN>find_movies<PAN>name.theater<PAV>Cinemark Downtown<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>""Beyond The Storm""<PRAV>""Back Country""<PN>get_movie_attribute<PAN>name.movie<PAV>""Beyond The Storm""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>""Beyond The Storm""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about treachery and intrigue in the North Sea<PN>get_movie_attribute<PAN>name.movie<PAV>""Back Country""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>documentary<A>""Beyond The Storm"" is an action flick that's currently playing about about treachery and intrigue in the North Sea. ""Back Country"" is a documentary about Yosemite.<U>They both sound great. Which has better reviews?<PN>get_movie_attribute<PAN>name.movie<PAV>""Back Country""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>better reviews according to Rotten Tomatoes. It has a really good score of 91%!<A>""Back Country"" has better reviews according to Rotten Tomatoes. It has a really good score of 91%!<U>That's incredible! We'll go with Back Country!<A>Great! Do you know what day you want to watch Back Country.<U>Do you have an evening time on August 23rd?<PN>find_showtimes<PAN>name.movie<PAV>""Back Country""<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>August 23rd<PAN>time.preference<PAV>evening<PR>find_showtimes<PRAN>time.showing<PRAV>7:30pm<A>We have a 7:30pm showing of ""Back Country"" on that day.<U>That's perfect, I'd like to book that time please.<A>Great, and how many tickets would you like to book?<U>I need 2 tickets please.<A>Awesome, I'll go ahead and purchase them for you and email you your tickets."	"[A]And just to confirm, I'm purchasing 2 tickets for ""Back Country"" at the Cinemark Downtown at 7:30 for the 23rd of August. Is this correct?"	dlg-27f4ecd8-4d62-4773-b421-7a0a4bcaf917
<U>Just 1 please.<C><U>I'd like to see a movie today.<A>Sure, I'd love to help, which movie?<U>I'm thinking about Knives Out. I heard that was good.<A>Where would you like to see it?<U>In my local area, north Chicago.<A>I have several times in your area, any theater you prefer?<U>I'd like somewhere cheap.<PN>find_theaters<PAN>name.movie<PAV>Knives Out<PAN>location<PAV>north Chicago<PR>find_theaters<PRAN>name.theater<PRAV>Arclight Theater<PN>find_showtimes<PAN>name.movie<PAV>Knives Out<PAN>name.theater<PAV>Arclight Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4<PRAV>6<PRAV>8 PM<A>Sure, there is showings at 4, 6, and 8 PM at the Arclight Theater at 1390 W. Clyborn.<U>Thanks, I think I'd like tickets at 6 pm.<A>Great, how many tickets?	[A]That will be 12$, should I order them now, or would you like to purchase them in the theater?	dlg-f66e3b7d-ddb5-4bbb-aa12-b3cfbe287049
<U>That's correct.<C><U>I'm looking to buy some tickets for tonight at the AMC theater.<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>Santa Barbara, California please<PN>resolve_theater<PAN>name.theater<PAV>AMC<PAN>location<PAV>Santa Barbara, California<PR>resolve_theater<PRAN>name.theater<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>I told you I wanted AMC Mountain 16.<A>Sorry for the trouble but I wanted to make sure I have it right.<U>OK.<A>Is there a particular movie you’re looking for?<U>Hey, can we speed things up here? I have a lot to do today and this is taking way too long.<A>OK, so far I understand that you are interested in tickets for tonight at AMC Mountain 16. We just need to decide on a movie, the number of tickets and a showtime.<U>What is playing at AMC Mountain 16?<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<A>I found two movies at AMC Mountain 16: No Time To Die and Mulan.<U>I would like to see No Time To Die.<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm At 9:10 PM<A>Got it. And how many tickets?<U>I need tickets for my son, my daughter, and myself.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?	[A]Is it OK to go ahead and purchase these tickets?	dlg-06ed8c3e-6463-4b85-b741-e38dfa106c39
<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist<C><U>Hello. I'm looking to watch a movie in tonight.<A>Okay, I'd be happy to help you. What location are you looking to see the movie in?<U>I'm looking to watch it near Spring Hills Kansas.<A>Sounds great. May I ask what your favorite movie genre is?<U>Sure, I really enjoy watching comedies.<A>Great, I see two movies that fit this category. Would you like to hear the first one or choose a different genre?<U>Sure, let me hear them!<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PAN>name.genre<PAV>comedies<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family jewels<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist<A>Not My Problem is a comedy. A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem.<U>Sounds interesting. What's the other comedy about?<PN>get_movie_attribute<PAN>name.movie<PAV>Family jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family jewels<PAN>attribute<PAV>description.plot	[A]Family jewels is a romantic comedy. A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist	dlg-d64ea062-56bb-4e52-aa4a-7729ea1b8ad7
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<C><U>I'm looking for a movie named No Time To Die<PN>resolve_movie<PAN>name.movie<PAV>No Time To Die<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>yes<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>san francisco ca<PN>resolve_location<PAN>location<PAV>san francisco ca<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.<U>ok<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>San Francisco, California	[A]OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in San Francisco, California. Do you have a preference?	dlg-9d9f21d0-d3f3-4a8d-8564-927791e4f106
